k	flips	probability
10001	82000	0.506
10001	83000	0.488
10001	84000	0.521
10001	85000	0.491
10001	86000	0.511
10001	87000	0.514
10001	88000	0.497
10001	89000	0.513
10001	90000	0.494
10001	91000	0.491
10001	92000	0.511
10001	93000	0.5
10001	94000	0.49
10001	95000	0.496
10001	96000	0.516
10001	97000	0.489
10001	98000	0.501
10001	99000	0.5
100001	50000	1
100001	60000	1
100001	70000	1
100001	80000	1
100001	90000	1
100001	100000	1
100001	110000	1
100001	120000	1
100001	130000	1
100001	140000	1
100001	150000	1
100001	160000	1
100001	170000	1
100001	180000	1
100001	190000	1
100001	200000	1
100001	210000	1
100001	220000	1
100001	230000	0.999
100001	240000	0.995
100001	250000	0.99
100001	260000	0.942
100001	270000	0.931
100001	280000	0.886
100001	290000	0.834
100001	300000	0.784
100001	310000	0.749
100001	320000	0.69
100001	330000	0.668
100001	340000	0.657
100001	350000	0.618
100001	360000	0.605
100001	370000	0.584
100001	380000	0.554
100001	390000	0.528
100001	400000	0.544
100001	410000	0.547
100001	420000	0.535
100001	430000	0.546
100001	440000	0.512
100001	450000	0.531
100001	460000	0.494
100001	470000	0.528
100001	480000	0.5
100001	490000	0.511
100001	500000	0.49
100001	510000	0.482
100001	520000	0.502
100001	530000	0.526
100001	540000	0.483
100001	550000	0.517
100001	560000	0.506
100001	570000	0.534
100001	580000	0.509
100001	590000	0.502
100001	600000	0.505
100001	610000	0.478
100001	620000	0.439
100001	630000	0.495
100001	640000	0.502
100001	650000	0.503
100001	660000	0.514
100001	670000	0.486
100001	680000	0.536
100001	690000	0.485
100001	700000	0.503
100001	710000	0.519
100001	720000	0.494
100001	730000	0.472
100001	740000	0.529
100001	750000	0.496
100001	760000	0.482
100001	770000	0.509
100001	780000	0.523
100001	790000	0.53
100001	800000	0.514
100001	810000	0.487
100001	820000	0.545
100001	830000	0.504
100001	840000	0.506
100001	850000	0.491
100001	860000	0.532
100001	870000	0.5
100001	880000	0.512
100001	890000	0.481
100001	900000	0.479
100001	910000	0.488
100001	920000	0.526
100001	930000	0.509
100001	940000	0.532
100001	950000	0.505
100001	960000	0.513
100001	970000	0.514
100001	980000	0.513
100001	990000	0.501
